firstrow,dropnr,begin,end,dropdur,height
2828,0,16753.2963,16755.3996,2.1032999999988533,2.1699086715426337e-05
2871,1,16844.281,16907.5289,63.24790000000212,0.019621456070882365
3040,2,17267.3417,17269.4407,2.098999999998341,2.1610453904965837e-05
3126,3,17448.9432,17448.9432,0.0,0.0
3232,4,17672.1803,17691.1042,18.923900000001595,0.0017565491268853465
3264,5,17739.6334,17802.8308,63.197400000000926,0.019590135253958377
4470,6,20430.7513,20553.2278,122.47650000000067,0.07357741842128705
4583,7,20736.0958,20852.3558,116.26000000000204,0.06629788117800232
5277,8,22268.2834,22312.4331,44.14969999999812,0.009560806429490636
5796,9,23431.2188,23674.1766,242.95780000000013,0.2895347561090205
6368,10,24711.8556,24768.6822,56.826600000000326,0.01583953240338198
6422,11,24825.8047,24880.7186,54.91389999999956,0.014791206106794814
6932,12,25969.2014,26207.6319,238.43049999999857,0.27884485183487295
8205,13,28791.7298,28937.9968,146.26699999999983,0.10493774309254474
8585,14,29662.4369,29738.3608,75.92389999999796,0.028274571289883536
8774,15,30094.0469,30094.0469,0.0,0.0
8845,16,30279.7471,30279.7471,0.0,0.0
8962,17,30526.7659,30539.3439,12.578000000001339,0.0007760008420201652
9021,18,30651.1551,30668.0455,16.890400000000227,0.0013993259276448373
9263,19,31163.0264,31163.0264,0.0,0.0
9675,20,32101.9156,32101.9156,0.0,0.0
9737,21,32233.2065,32250.1718,16.965299999999843,0.0014117639870614238
9870,22,32580.8869,32589.3535,8.466599999999744,0.00035160666282177877
9925,23,32697.3486,32701.5858,4.237199999999575,8.806370213518234e-05
10112,24,33098.6575,33100.7532,2.0956999999980326,2.1542556393409557e-05
10291,25,33478.1456,33480.2495,2.10389999999461,2.1711468504938755e-05
10359,26,33670.4713,33713.785,43.313700000006065,0.009202155760722029
10452,27,33885.0978,33885.0978,0.0,0.0
10516,28,34040.592,34059.596,19.004000000000815,0.0017714506384801521
10658,29,34340.5609,34344.7959,4.235000000000582,8.79722786250242e-05
10861,30,34773.3251,34773.3251,0.0,0.0
10994,31,34970.9,35063.9716,93.07159999999567,0.04248869297377285
11127,32,35136.1222,35187.3917,51.269500000002154,0.012893094796377333
11193,33,35219.787,35227.2837,7.4967000000033295,0.00027566350591569486
11301,34,35353.931,35378.6672,24.736200000006647,0.0030012693911098134
11415,35,35533.6079,35623.1874,89.57949999999983,0.0393601078533261
11515,36,35746.5836,35850.2948,103.71120000000519,0.05275824379168849
11598,37,35972.2949,36011.525,39.230100000000675,0.007548798659179311
12163,38,36709.8429,36743.8853,34.04239999999845,0.005684330914012284
12201,39,36790.5418,36864.7549,74.21310000000085,0.02701470055794767
12507,40,37507.0865,37517.6211,10.534599999999045,0.0005443460950697015
12601,41,37706.7401,37732.2885,25.548399999999674,0.003201595242256718
13129,42,38892.3548,39131.7076,239.35280000000057,0.28100628686675655
13418,43,39582.3559,39682.0861,99.73019999999815,0.048785683244954386
13716,44,40232.2295,40234.3327,2.1031999999977415,2.1697023427153398e-05
14106,45,41121.3877,41176.1504,54.76269999999931,0.014709865991877081
14581,46,42194.0971,42194.0971,0.0,0.0
14979,47,43101.2509,43109.6499,8.398999999997613,0.0003460144009048034
15224,48,43620.6841,43620.6841,0.0,0.0
15284,49,43747.3332,43751.622,4.288800000002084,9.022161568328768e-05
15335,50,43855.1167,43855.1167,0.0,0.0
15384,51,43958.7907,44064.3433,105.55260000000271,0.054648328453960615
15440,52,44175.7053,44175.7053,0.0,0.0
15526,53,44397.4388,44399.5547,2.1158999999970547,2.1959845932988867e-05
15732,54,44833.1798,44833.1798,0.0,0.0
16058,55,45589.6713,45617.2558,27.584499999997206,0.003732237260425494
16102,56,45683.01,45710.3899,27.379899999999907,0.0036770770222690255
16157,57,45799.1915,45801.2953,2.103799999997136,2.1709404628140897e-05
16207,58,45905.226,45915.9003,10.674299999998766,0.0005588790378033208
16466,59,46454.9631,46651.2896,196.32649999999558,0.18905878402402773
17820,60,49512.8113,49521.1715,8.36019999999553,0.00034282489051583337
17853,61,49582.5321,49728.0206,145.48850000000675,0.10382366231619591
18052,62,50004.7235,50287.3241,282.60059999999794,0.39172850118536007
18532,63,51082.9273,51319.3988,236.47149999999965,0.2742815683815854
18910,64,51947.0652,52253.9295,306.8643000000011,0.4618827517040768
19728,65,53808.0441,53839.9872,31.94310000000405,0.005004873832478321
19881,66,54135.6632,54137.7718,2.1085999999995693,2.1808581373791094e-05
19907,67,54190.6244,54203.236,12.611599999996542,0.0007801522896163723
20259,68,55006.0051,55056.4273,50.422200000000885,0.012470463430180637
20613,69,55752.3697,55752.3697,0.0,0.0
20672,70,55877.1955,55879.5525,2.356999999996333,2.724947734491521e-05
20697,71,55942.7324,55942.7324,0.0,0.0
